time,BTC-USD,ETH-USD,LTC-USD,XLM-USD
1548547200,3531.02,111.35,32.02,0.1062
1548633600,3429.95,105.47,30.96,0.105989
1548720000,3397.42,104.02,30.69,0.1081
1548806400,3437.55,107.61,31.53,0.108545
1548892800,3411.5,105.79,31.24,0.115505
1548979200,3437.5,105.88,32.37,0.111822
1549065600,3468.43,109.3,34.18,0.108801
1549152000,3414.78,105.94,32.87,0.105622
1549238400,3409.57,106.08,33.64,0.108345
1549324800,3428.4,106.0,33.95,0.106601
1549411200,3367.36,103.36,32.47,0.104027
1549497600,3359.0,103.21,32.85,0.099667
1549584000,3621.99,117.96,42.56,0.102149
1549670400,3623.73,118.06,44.2,0.107447
1549756800,3648.84,123.94,46.51,0.106298
1549843200,3590.36,119.55,42.37,0.107355
1549929600,3588.06,120.82,43.35,0.106863
1550016000,3576.68,120.74,41.21,0.108371
1550102400,3561.5,119.39,40.93,0.110335
1550188800,3566.59,120.42,42.08,0.122508
1550275200,3582.37,121.56,43.15,0.121
1550361600,3625.08,132.34,43.45,0.117699
1550448000,3867.0,144.62,47.34,0.127893
1550534400,3888.01,142.69,46.91,0.125201
1550620800,3938.99,147.19,51.08,0.133466
1550707200,3897.71,144.21,48.46,0.131338
1550793600,3942.02,146.68,49.07,0.125078
1550880000,4110.0,157.56,51.19,0.126564
1550966400,3734.22,131.76,43.57,0.115517
1551052800,3818.79,137.64,45.37,0.114
1551139200,3799.48,135.66,44.66,0.11594
1551225600,3799.91,134.46,44.96,0.118175
1551312000,3792.14,134.48,45.44,0.112492
1551398400,3806.17,134.72,46.81,0.115368
1551484800,3809.7,132.32,48.25,0.117432
1551571200,3786.93,129.78,47.49,0.117718
1551657600,3700.72,125.24,45.64,0.115855
1551744000,3844.59,136.3,52.3,0.115736
1551830400,3851.89,137.0,55.17,0.111877
1551916800,3857.05,136.29,56.51,0.11301
1552003200,3843.12,132.75,55.33,0.10957
1552089600,3917.0,136.41,57.43,0.103249
